episode 1 of 100000 complete,  explore val = 0.01, episode reward = 134.0, ave reward = 134.0, sim time = 0.565, fit time = 0.742, episode_time = 1.307
episode 2 of 100000 complete,  explore val = 0.01, episode reward = 420.4, ave reward = 420.4, sim time = 0.468, fit time = 0.0, episode_time = 0.468
episode 3 of 100000 complete,  explore val = 0.01, episode reward = 74.1, ave reward = 74.1, sim time = 0.257, fit time = 0.0, episode_time = 0.257
episode 4 of 100000 complete,  explore val = 0.01, episode reward = 226.9, ave reward = 226.9, sim time = 0.351, fit time = 0.0, episode_time = 0.351
episode 5 of 100000 complete,  explore val = 0.01, episode reward = 124.8, ave reward = 124.8, sim time = 0.262, fit time = 0.0, episode_time = 0.262
episode 6 of 100000 complete,  explore val = 0.01, episode reward = 171.2, ave reward = 171.2, sim time = 0.32, fit time = 0.0, episode_time = 0.32
episode 7 of 100000 complete,  explore val = 0.01, episode reward = 163.1, ave reward = 163.1, sim time = 0.294, fit time = 0.0, episode_time = 0.294
episode 8 of 100000 complete,  explore val = 0.01, episode reward = 62.9, ave reward = 62.9, sim time = 0.273, fit time = 0.0, episode_time = 0.272
episode 9 of 100000 complete,  explore val = 0.01, episode reward = 42.5, ave reward = 42.5, sim time = 0.208, fit time = 0.0, episode_time = 0.208
episode 10 of 100000 complete,  explore val = 0.01, episode reward = -200.5, ave reward = -200.5, sim time = 0.297, fit time = 0.0, episode_time = 0.298
episode 11 of 100000 complete,  explore val = 0.01, episode reward = -158.8, ave reward = -158.8, sim time = 0.31, fit time = 5.296, episode_time = 5.607
episode 12 of 100000 complete,  explore val = 0.01, episode reward = 229.3, ave reward = 229.3, sim time = 0.321, fit time = 0.0, episode_time = 0.321
episode 13 of 100000 complete,  explore val = 0.01, episode reward = -257.9, ave reward = -257.9, sim time = 0.214, fit time = 0.0, episode_time = 0.214
episode 14 of 100000 complete,  explore val = 0.01, episode reward = -75.2, ave reward = -75.2, sim time = 0.278, fit time = 0.0, episode_time = 0.278
episode 15 of 100000 complete,  explore val = 0.01, episode reward = -163.4, ave reward = -163.4, sim time = 0.301, fit time = 0.0, episode_time = 0.301
episode 16 of 100000 complete,  explore val = 0.01, episode reward = 259.7, ave reward = 259.7, sim time = 0.339, fit time = 0.0, episode_time = 0.339
episode 17 of 100000 complete,  explore val = 0.01, episode reward = 160.8, ave reward = 160.8, sim time = 0.283, fit time = 0.0, episode_time = 0.284
episode 18 of 100000 complete,  explore val = 0.01, episode reward = -239.1, ave reward = -239.1, sim time = 0.232, fit time = 0.0, episode_time = 0.232
episode 19 of 100000 complete,  explore val = 0.01, episode reward = 64.9, ave reward = 64.9, sim time = 0.244, fit time = 0.0, episode_time = 0.244
episode 20 of 100000 complete,  explore val = 0.01, episode reward = 52.8, ave reward = 52.8, sim time = 0.194, fit time = 0.0, episode_time = 0.194
episode 21 of 100000 complete,  explore val = 0.01, episode reward = 135.7, ave reward = 135.7, sim time = 0.321, fit time = 6.634, episode_time = 6.956
episode 22 of 100000 complete,  explore val = 0.01, episode reward = 8.2, ave reward = 8.2, sim time = 0.296, fit time = 0.0, episode_time = 0.297
episode 23 of 100000 complete,  explore val = 0.01, episode reward = 80.7, ave reward = 80.7, sim time = 0.235, fit time = 0.0, episode_time = 0.236
episode 24 of 100000 complete,  explore val = 0.01, episode reward = 4.3, ave reward = 4.3, sim time = 0.295, fit time = 0.0, episode_time = 0.295
episode 25 of 100000 complete,  explore val = 0.01, episode reward = 75.6, ave reward = 75.6, sim time = 0.289, fit time = 0.0, episode_time = 0.289
episode 26 of 100000 complete,  explore val = 0.01, episode reward = 74.3, ave reward = 74.3, sim time = 0.268, fit time = 0.0, episode_time = 0.268
episode 27 of 100000 complete,  explore val = 0.01, episode reward = 31.4, ave reward = 31.4, sim time = 0.228, fit time = 0.0, episode_time = 0.228
episode 28 of 100000 complete,  explore val = 0.01, episode reward = -65.8, ave reward = -65.8, sim time = 0.213, fit time = 0.0, episode_time = 0.213
